variant,fold,status,step,checkpoint,eval_fbeta,eval_precision,eval_recall,eval_loss
external_0,fold_0,ok,1568,output/external_0/fold_0/checkpoint-1568,0.9618063896228092,0.6305015353121795,0.9824561403508756,0.002171348314732313
external_0,fold_1,ok,2352,output/external_0/fold_1/checkpoint-2352,0.9471177266575883,0.6409523809523804,0.9655667144906729,0.002613062271848321
external_0,fold_2,ok,784,output/external_0/fold_2/checkpoint-784,0.9419113054340246,0.4455825864276566,0.98583569405099,0.004189265426248312
external_0,fold_3,ok,1568,output/external_0/fold_3/checkpoint-1568,0.9445783132529413,0.5068965517241375,0.9783693843593994,0.0026225405745208263
external_50,fold_0,ok,2352,output/external_50/fold_0/checkpoint-2352,0.9548286604360761,0.602753195673549,0.9776714513556602,0.002602549036964774
external_50,fold_1,ok,2352,output/external_50/fold_1/checkpoint-2352,0.9442008984141876,0.6378326996197713,0.9626972740315625,0.0026491230819374323
external_50,fold_2,ok,784,output/external_50/fold_2/checkpoint-784,0.9415192507803577,0.44331210191082776,0.98583569405099,0.004257692955434322
external_50,fold_3,ok,2352,output/external_50/fold_3/checkpoint-2352,0.9506041444937738,0.616033755274261,0.9717138103161381,0.0020383773371577263
o_010,fold_0,ok,1568,output/o_010/fold_0/checkpoint-1568,0.9639514522069382,0.6930022573363424,0.9792663476873987,0.001395875820890069
o_010,fold_1,ok,1568,output/o_010/fold_1/checkpoint-1568,0.9371534195932925,0.6842105263157887,0.9512195121951206,0.0019221914699301124
o_010,fold_2,missing_trainer_state,1568,output/o_010/fold_2/checkpoint-1568,,,,
